average_age,region,Gold,Silver,Bronze,Total_Medals_From_Athletes
26,USA,2520,1573,1294,5387
25,Russia,1597,1169,1176,3942
25,Germany,1290,1170,1249,3709
26,UK,649,678,623,1950
26,France,482,547,619,1648
26,Italy,567,527,503,1597
27,Sweden,476,522,534,1532
25,Australia,366,456,522,1344
25,Canada,460,429,427,1316
25,Hungary,430,329,371,1130
27,Norway,378,361,294,1033
26,Netherlands,278,333,410,1021
23,China,351,349,293,993
24,Japan,247,304,357,908
27,Finland,198,270,432,900
27,Switzerland,168,241,247,656
25,"Czech Republic",123,262,256,641
23,"South Korea",221,232,185,638
24,Romania,161,200,275,636
27,Denmark,179,240,177,596
25,Poland,117,194,251,562
25,Serbia,157,222,159,538
25,Spain,110,243,136,489
26,Brazil,109,175,190,474
26,Austria,107,183,155,445
24,Cuba,164,129,116,409
24,Bulgaria,54,144,144,342
27,Belgium,75,145,118,338
26,Argentina,91,92,91,274
26,"New Zealand",90,56,82,228
25,Ukraine,47,52,100,199
26,India,119,19,40,178
24,Jamaica,38,75,44,157
25,Croatia,58,54,37,149
26,Belarus,24,44,71,139
26,"South Africa",31,45,49,125
25,Greece,33,47,41,121
25,Pakistan,42,45,34,121
24,Mexico,30,26,54,110
26,Kenya,34,39,30,103
24,Nigeria,23,30,46,99
25,Turkey,34,20,25,79
25,Kazakhstan,20,25,32,77
26,Iran,18,20,29,67
22,"North Korea",16,16,35,67
26,Lithuania,6,7,48,61
25,Uruguay,31,2,26,59
24,Ethiopia,22,9,22,53
26,Estonia,13,12,25,50
23,Taiwan,3,28,18,49
25,Slovenia,8,13,27,48
26,Slovakia,15,19,13,47
25,Azerbaijan,7,12,25,44
24,Indonesia,11,17,13,41
27,Portugal,4,11,26,41
26,Bahamas,14,11,15,40
25,Trinidad,7,8,22,37
27,Ireland,9,13,13,35
26,Latvia,3,19,13,35
24,Uzbekistan,10,7,17,34
26,Chile,3,9,20,32
25,Georgia,8,6,18,32
25,Thailand,9,8,13,30
25,Colombia,5,9,14,28
25,Mongolia,2,10,14,26
25,Egypt,7,7,11,25
26,Morocco,6,5,12,23
24,Ghana,0,1,22,23
24,Cameroon,20,1,1,22
25,Zimbabwe,16,4,1,21
24,Algeria,5,4,8,17
24,Paraguay,0,17,0,17
24,Iceland,0,15,2,17
24,Malaysia,0,11,5,16
25,Armenia,2,5,9,16
25,Venezuela,2,3,10,15
24,Peru,1,14,0,15
27,Montenegro,0,14,0,14
24,Tunisia,3,3,7,13
25,Fiji,13,0,0,13
25,Philippines,0,3,7,10
24,Israel,1,1,7,9
25,"Puerto Rico",1,2,6,9
23,Liechtenstein,2,2,5,9
26,Moldova,0,3,5,8
24,Uganda,2,3,2,7
24,"Dominican Republic",3,2,2,7
25,"Saudi Arabia",0,1,5,6
26,Luxembourg,2,4,0,6
25,Syria,1,2,2,5
23,Qatar,0,1,4,5
25,"Individual Olympic Athletes",1,1,3,5
24,Lebanon,0,2,2,4
27,Tajikistan,1,1,2,4
26,"Costa Rica",1,1,2,4
28,Namibia,0,4,0,4
25,Vietnam,1,3,0,4
24,Bahrain,1,1,1,3
24,Kyrgyzstan,0,1,2,3
24,"Ivory Coast",1,1,1,3
24,Panama,1,0,2,3
23,Kuwait,0,0,2,2
25,Tanzania,0,2,0,2
24,"United Arab Emirates",1,0,1,2
26,"Sri Lanka",0,2,0,2
25,Ecuador,1,1,0,2
22,Suriname,1,0,1,2
24,Afghanistan,0,0,2,2
23,Mozambique,1,0,1,2
23,Grenada,1,1,0,2
24,Burundi,1,1,0,2
25,Eritrea,0,0,1,1
24,Jordan,1,0,0,1
24,Sudan,0,1,0,1
25,Djibouti,0,0,1,1
30,Monaco,0,0,1,1
27,"Virgin Islands, US",0,1,0,1
24,Guyana,0,0,1,1
23,Mauritius,0,0,1,1
22,Niger,0,1,0,1
23,Togo,0,0,1,1
27,Curacao,0,1,0,1
25,Haiti,0,1,0,1
24,Cyprus,0,1,0,1
26,Bermuda,0,0,1,1
24,Guatemala,0,1,0,1
24,Barbados,0,0,1,1
24,Gabon,0,1,0,1
25,Botswana,0,1,0,1
26,Senegal,0,1,0,1
23,Zambia,0,1,0,1
22,Macedonia,0,0,1,1
24,Tonga,0,1,0,1
24,Kosovo,1,0,0,1
23,Chad,0,0,0,0
24,Nicaragua,0,0,0,0
24,Iraq,0,0,0,0
24,Libya,0,0,0,0
24,Palestine,0,0,0,0
22,Comoros,0,0,0,0
22,Brunei,0,0,0,0
21,Maldives,0,0,0,0
22,Yemen,0,0,0,0
25,Benin,0,0,0,0
22,Somalia,0,0,0,0
24,Mali,0,0,0,0
25,Angola,0,0,0,0
23,Bangladesh,0,0,0,0
23,"El Salvador",0,0,0,0
22,Honduras,0,0,0,0
24,Turkmenistan,0,0,0,0
23,Seychelles,0,0,0,0
25,Mauritania,0,0,0,0
25,"Saint Kitts",0,0,0,0
22,"Saint Vincent",0,0,0,0
23,Liberia,0,0,0,0
25,Nepal,0,0,0,0
23,Palau,0,0,0,0
27,"American Samoa",0,0,0,0
26,Samoa,0,0,0,0
24,Rwanda,0,0,0,0
26,Dominica,0,0,0,0
25,Malta,0,0,0,0
23,Guinea,0,0,0,0
26,Belize,0,0,0,0
22,"Sierra Leone",0,0,0,0
24,"Papua New Guinea",0,0,0,0
25,Oman,0,0,0,0
24,Vanuatu,0,0,0,0
26,"Virgin Islands, British",0,0,0,0
24,"Central African Republic",0,0,0,0
24,Madagascar,0,0,0,0
26,"Bosnia and Herzegovina",0,0,0,0
24,Guam,0,0,0,0
25,"Cayman Islands",0,0,0,0
26,Guinea-Bissau,0,0,0,0
25,Timor-Leste,0,0,0,0
24,"Democratic Republic of the Congo",0,0,0,0
26,"San Marino",0,0,0,0
22,Laos,0,0,0,0
23,NA,0,0,0,0
23,Cambodia,0,0,0,0
24,"Solomon Islands",0,0,0,0
26,"Cape Verde",0,0,0,0
23,"Equatorial Guinea",0,0,0,0
26,Boliva,0,0,0,0
23,Andorra,0,0,0,0
23,Antigua,0,0,0,0
24,"Saint Lucia",0,0,0,0
24,Micronesia,0,0,0,0
26,Myanmar,0,0,0,0
24,Malawi,0,0,0,0
22,"Sao Tome and Principe",0,0,0,0
24,"Republic of Congo",0,0,0,0
23,Gambia,0,0,0,0
23,"Cook Islands",0,0,0,0
25,Albania,0,0,0,0
24,Swaziland,0,0,0,0
24,"Burkina Faso",0,0,0,0
25,Aruba,0,0,0,0
23,Nauru,0,0,0,0
26,Bhutan,0,0,0,0
20,"Marshall Islands",0,0,0,0
22,Kiribati,0,0,0,0
24,"South Sudan",0,0,0,0
25,Lesotho,0,0,0,0
